,word,FT_nearest 1,Base_nearest 1,FT_nearest 2,Base_nearest 2,FT_nearest 3,Base_nearest 3,FT_nearest 4,Base_nearest 4,FT_nearest 5,Base_nearest 5,FT_nearest 6,Base_nearest 6,FT_nearest 7,Base_nearest 7,FT_nearest 8,Base_nearest 8,FT_nearest 9,Base_nearest 9,FT_nearest 10,Base_nearest 10
0,RT,2014 : 0.99803,केस : 0.99975,Love : 0.99764,ए : 0.99973,imagine : 0.9973,अवैध : 0.99973,prapt : 0.99727,वापस : 0.99971,सह : 0.99718,उनकी : 0.9997,poster : 0.99715,पूर्व : 0.9997,एयरपोर्ट : 0.99711,हुआ : 0.99969,just : 0.99709,विधायक : 0.99969,अच्छा : 0.99705,आरोप : 0.99968,आपको : 0.99704,बरामद : 0.99968
1,ऐसी,करनी : 0.99931,चु : 0.99985,इसलिए : 0.99916,खुद : 0.99984,महसूस : 0.99914,व्यक्ति : 0.99984,मुझसे : 0.99914,मजबूर : 0.99984,315 : 0.99909,एम : 0.99984,आपको : 0.99895,विभाग : 0.99983,poster : 0.99884,इसे : 0.99983,होगी : 0.99884,दुख : 0.99983,करना : 0.99882,पूरा : 0.99983,अच्छा : 0.9987,जानते : 0.99983
2,भाषा,अंग्रेजी : 0.98612,वर्तमान : 0.998,शब्द : 0.98132,योगी : 0.99797,कन्नड़ : 0.97812,फोटो : 0.99797,भाषाविद : 0.978,ग्राम : 0.99789,हिंदी : 0.97724,खास : 0.99787,शातिर : 0.97709,मोई : 0.99777,सुमन : 0.97693,गीत : 0.99772,स्वभाव : 0.97636,जीवन : 0.9977,गलत : 0.97607,मंत्री : 0.99769,तरह : 0.97595,बार : 0.99767
3,किसी,क्योंकि : 0.99968,देते : 0.99952,उन : 0.99961,काम : 0.99947,दोनों : 0.99959,महिला : 0.99941,पाना : 0.99948,पैर : 0.99941,लगी : 0.99944,लोक : 0.99938,उनको : 0.99941,होगा : 0.99937,आपने : 0.99937,मामले : 0.99935,उन्हें : 0.99937,प्रेम : 0.99935,चाहते : 0.99933,होगी : 0.99935,तट : 0.99932,सकता : 0.99934
4,से,परऔर : 0.99032,सेक्टर : 0.99864,पर : 0.98822,है : 0.99859,तक : 0.987,भी : 0.99857,के : 0.98697,सेठ : 0.99855,2 : 0.98669,लेकिन : 0.99844,7:30 : 0.98651,hai : 0.99836,द्वारा : 0.9865,मिलेगा : 0.99833,10 : 0.98624,जीवन : 0.99832,की : 0.98622,सेमी : 0.99829,ऊपर : 0.98614,महीने : 0.99828
5,नफरत,मोहब्बत : 0.98894,प्रख्यात : 0.99844,फिक्र : 0.98429,इन्तजार : 0.99844,नाराजगी : 0.98302,कहत : 0.99816,इबादत : 0.98197,शिला : 0.99793,ख़तरे : 0.9818,इंकलाब : 0.99784,इंसानियत : 0.98169,फतवा : 0.99779,औरतें : 0.98147,बरत : 0.99759,तब : 0.98087,आयल : 0.99757,गालियाँ : 0.98083,आएं : 0.99754,तकरार : 0.98048,मोहब्बत : 0.99753
6,का,को : 0.99466,की : 0.99924,की : 0.9931,पैर : 0.99924,वाले : 0.99299,जी : 0.99918,मामले : 0.99286,लोक : 0.99917,लोगों : 0.99264,महिला : 0.99916,के : 0.99243,लिए : 0.99914,उनका : 0.99229,खेल : 0.99914,कार्यक्रम : 0.99207,जो : 0.99913,प्रोग्राम : 0.9919,देते : 0.99912,तरह : 0.99177,दिन : 0.99912
7,मतलब,कहना : 0.992,लेना : 0.999,ढंग : 0.99082,वजह : 0.99899,बात : 0.98967,देना : 0.99898,सिर्फ : 0.98927,समझ : 0.99895,पता : 0.98915,होना : 0.99895,वजह : 0.9889,मामले : 0.99893,बल्कि : 0.9888,कहा : 0.99891,रूप : 0.98858,पहन : 0.9989,उनके : 0.98826,पैर : 0.99889,दिल : 0.9882,नया : 0.99888
8,ये,अब : 0.98743,वो : 0.99732,वो : 0.98738,01 : 0.99694,वहां : 0.9863,कृष्ण : 0.99694,कहाँ : 0.98609,है : 0.99679,इनके : 0.98593,Love : 0.99679,उसकी : 0.98564,train : 0.99675,भी : 0.98542,सन्तान : 0.99673,उसने : 0.98497,क : 0.99669,लेकर : 0.98488,तुरंत : 0.99668,जाकर : 0.98487,कोई : 0.99666
9,नहीं,रखते : 0.99743,में : 0.9993,दिए : 0.99707,और : 0.9991,किसी : 0.99689,वीडियो : 0.99884,लगी : 0.99685,कोई : 0.99881,क्योंकि : 0.9968,गंगा : 0.99879,करते : 0.99675,भाई : 0.99874,तभी : 0.99671,लेकिन : 0.99873,होगा : 0.99671,बड़ी : 0.99871,ठीक : 0.99669,घंटे : 0.99857,मना : 0.99655,दिसंबर : 0.99849
10,अपनी,उसके : 0.9968,कहीं : 0.99799,अचानक : 0.99669,जाएगा : 0.99787,थी : 0.99663,सभी : 0.99782,उनकी : 0.99663,दिया : 0.99781,मन : 0.99663,देना : 0.99776,अपना : 0.99662,करने : 0.99775,बेहद : 0.9966,छोड़ : 0.99775,उनसे : 0.9966,किसी : 0.9977,कितनी : 0.99656,का : 0.99769,आपकी : 0.99655,हमारी : 0.99768
11,मर्यादा,ko : 0.99149,प्रमाण : 0.99988,आध्यात्मिक : 0.99097,प्रति : 0.99987,उचित : 0.99096,देने : 0.99986,Fi : 0.9909,दर्शन : 0.99985,आपको : 0.99085,कार्ड : 0.99985,होगी : 0.99074,नामक : 0.99984,भरोसा : 0.99062,डा : 0.99984,आगमन : 0.99049,मान : 0.99984,निधन : 0.99024,उपलब्धि : 0.99984,200 : 0.99005,प्रेरित : 0.99984
12,को,लोगों : 0.99586,वा : 0.99991,मामले : 0.99491,डा : 0.99989,सब : 0.99472,पार : 0.99989,वाले : 0.9947,करते : 0.99989,का : 0.99466,खो : 0.99989,भी : 0.99455,साथ : 0.99988,लेकिन : 0.99431,न : 0.99988,बात : 0.99372,करता : 0.99988,था : 0.99337,हजार : 0.99987,लेकर : 0.99333,नामक : 0.99986
13,ताक,नाक : 0.98775,खटक : 0.99821,उसकी : 0.98718,झुक : 0.99812,ताबूतों : 0.98646,प्रतीक : 0.99805,जाकि : 0.98639,मानक : 0.99803,तब : 0.98567,मजाक : 0.99778,डाल : 0.98544,चावल : 0.99749,कह : 0.98533,धर्मा : 0.99748,सिर्फ : 0.98532,नाक : 0.99748,सब : 0.98513,वादा : 0.99747,कबुल : 0.98503,मरने : 0.99744
14,पर,परऔर : 0.99401,स्वरूप : 0.99904,के : 0.99212,व्यक्त : 0.99904,की : 0.99075,जैसी : 0.99896,ऊपर : 0.99044,अर्थात : 0.99883,आज : 0.98952,च : 0.99878,में : 0.98861,जिस : 0.99878,पे : 0.9885,शुरू : 0.99876,से : 0.98822,अपना : 0.99875,द्वारा : 0.98784,मोबाईल : 0.99872,उसपर : 0.98778,लगभग : 0.99869
15,रखकर,मानकर : 0.9926,पाकर : 0.99938,पाकर : 0.99029,पहुंचकर : 0.99934,लगाकर : 0.98945,लगाकर : 0.9991,पहुंचकर : 0.9893,मानकर : 0.99886,बैठाकर : 0.98882,छोड़कर : 0.99877,बैठकर : 0.98751,उड़ाकर : 0.99836,निकलकर : 0.98739,निकलकर : 0.99833,छोड़कर : 0.98678,जोड़कर : 0.99825,बढ़ाकर : 0.98638,प्रियंका : 0.99811,किए : 0.98527,बुलाकर : 0.9981
16,इस,इन : 0.99521,लेकिन : 0.99832,लेकिन : 0.99456,कोशिश : 0.99794,हमें : 0.99425,और : 0.99791,हमारे : 0.99409,गीत : 0.99789,देखकर : 0.99404,तक : 0.99782,इसके : 0.99401,हुए : 0.99781,उनका : 0.99399,भी : 0.99781,पिछले : 0.99379,शहर : 0.99781,खुद : 0.99378,जीवन : 0.99779,लोगों : 0.99358,अपना : 0.99777
